Source,Type,Target,Weight
Ancient,undirected,Lieutenant,3
Ancient,undirected,Folly-wit,19
Folly-wit,undirected,Lieutenant,85
Ancient,undirected,Penitent,1
Penitent,undirected,courtesan,44
Penitent,undirected,mother,1
courtesan,undirected,mother,12
Possibility,undirected,mother,7
Inesse,undirected,Possibility,6
Harebrain,undirected,Inesse,3
1_watchman,undirected,Harebrain,5
2_watchman,undirected,Harebrain,2
Harebrain,undirected,courtesan,52
Harebrain,undirected,wife,30
courtesan,undirected,wife,12
1_watchman,undirected,Bounteous,3
Bounteous,undirected,Footman,37
Bounteous,undirected,Gunwater,39
Bounteous,undirected,Folly-wit,193
Folly-wit,undirected,Footman,7
Folly-wit,undirected,courtesan,15
1_watchman,undirected,Folly-wit,2
Ancient,undirected,Bounteous,1
Lieutenant,undirected,courtesan,1
Bounteous,undirected,Penitent,50
Bounteous,undirected,Lieutenant,18
Lieutenant,undirected,Possibility,1
Harebrain,undirected,Possibility,9
Harebrain,undirected,Rafe,14
Harebrain,undirected,Penitent,13
Bounteous,undirected,courtesan,21
Possibility,undirected,courtesan,7
Penitent,undirected,Possibility,6
Inesse,undirected,Penitent,13
Inesse,undirected,courtesan,4
Penitent,undirected,wife,22
Folly-wit,undirected,Penitent,1
Lieutenant,undirected,Penitent,1
Penitent,undirected,succubus,22
Jesper,undirected,Penitent,15
Bounteous,undirected,Jesper,1
Folly-wit,undirected,Gunwater,19
Bounteous,undirected,servant,9
Penitent,undirected,servant,11
Harebrain,undirected,servant,4
Folly-wit,undirected,Harebrain,3
Folly-wit,undirected,mother,41
Bounteous,undirected,Harebrain,34
Bounteous,undirected,mother,9
Bounteous,undirected,constable,14
Lieutenant,undirected,constable,5
Folly-wit,undirected,constable,9
Harebrain,undirected,Lieutenant,1
