	character	line_rank	word_rank	WD_rank	BC_rank
0	1_sergeant	21	23	20	13
1	2_sergeant	22	26	21	20
2	Allum	13	14	13	11
3	Bellamont	1	1	1	2
4	Chartley	14	20	14	9
5	Doll	3	3	3	1
6	Featherstone	6	7	6	4
7	Full-moon	11	16	10	17
8	Greenshield	4	4	4	7
9	Hans	13	13	12	19
10	Hornet	12	12	11	16
11	Kate	8	6	8	8
12	Leapfrog	18	22	17	10
13	Leverpool	10	15	16	6
14	Mayberry	2	2	2	3
15	Philip	7	8	7	5
16	bawd	16	11	17	15
17	captain	5	5	5	14
18	chamberlain	20	19	19	20
19	drawer	20	24	19	20
20	hostess	21	21	20	20
21	mrs_Mayberry	9	9	9	20
22	musician	17	18	17	18
23	prentice	19	17	18	20
24	squirrel	15	10	15	12
25	tailor	22	25	21	20
