#HenryV_H5, Prince_Hal
#Peto_1H4, Peto
#Vintner_1H4, vintner
#TRAVELERS.CARRIERS.2_1H4, travelers_second_carrier
#Chamberlain_1H4, chamberlain
#TRAVELERS.GENTLEMEN_1H4, ####
#Vernon_1H4, Vernon
#Falstaff_1H4 #Bardolph_1H4 #Peto_1H4 #Gadshill_1H4, ####
#MESSENGERS.X_1H4, third_messenger
#DRAWERS.Francis_1H4, drawer_Francis
#LadyPercy_1H4, Lady_Percy
#MESSENGERS.2_1H4, second_messenger
#Sheriff_1H4, sheriff
#MESSENGERS.1_1H4, first_messenger
#Mortimer_1H4, Mortimer
#MistressQuickly_1H4, hostess
#Bedford_H5, Lancaster
#HenryIV_1H4, King_Henry_IV
#SERVANTS.HOTSPUR.1_1H4, servant
#TRAVELERS.GENTLEMEN.0.1_1H4, first_traveler
#TRAVELERS.CARRIERS.1_1H4, first_carrier
#TRAVELERS.CARRIERS.X_1H4, third_carrier
#Ostler_1H4, ostler
#Archbishop_1H4, archbishop
#Northumberland_R2, Northumberland
#Falstaff_1H4, Falstaff
#TRAVELERS.CARRIERS_1H4 #TRAVELERS.GENTLEMEN_1H4, ####
#Bardolph_1H4, Bardolph
#Blunt_1H4, Blunt
#Douglas_1H4, Douglas
#Glendower_1H4, Glendower
#Poins_1H4, Poins
#Worcester_1H4, Worcester
#Hotspur_R2, Hotspur
#Westmoreland_1H4, Westmoreland
#SirMichael_1H4, Sir_Michael
#Gadshill_1H4, Gadshill
